codigo,geocodigo,municipio,uf
313005,3130051,Icaraí de Minas,MG
410990,4109906,Icaraíma,PR
210510,2105104,Icatu,MA
351980,3519808,Icém,SP
291330,2913309,Ichu,BA
230540,2305407,Icó,CE
320260,3202603,Iconha,ES
240460,2404606,Ielmo Marinho,RN
351990,3519907,Iepê,SP
270310,2703106,Igaci,AL
291340,2913408,Igaporã,BA
352000,3520004,Igaraçu do Tietê,SP
250260,2502607,Igaracy,PB
352010,3520103,Igarapava,SP
313010,3130101,Igarapé,MG
210515,2105153,Igarapé do Meio,MA
210520,2105203,Igarapé Grande,MA
150320,1503200,Igarapé-Açu,PA
150330,1503309,Igarapé-Miri,PA
260680,2606804,Igarassu,PE
352020,3520202,Igaratá,SP
313020,3130200,Igaratinga,MG
291345,2913457,Igrapiúna,BA
270320,2703205,Igreja Nova,AL
431010,4310108,Igrejinha,RS
330187,3301876,Iguaba Grande,RJ
291350,2913507,Iguaí,BA
352030,3520301,Iguape,SP
411000,4110003,Iguaraçu,PR
260690,2606903,Iguaracy,PE
313030,3130309,Iguatama,MG
500430,5004304,Iguatemi,MS
230550,2305506,Iguatu,CE
411005,4110052,Iguatu,PR
313040,3130408,Ijaci,MG
431020,4310207,Ijuí,RS
352042,3520426,Ilha Comprida,SP
280270,2802700,Ilha das Flores,SE
260760,2607604,Ilha de Itamaracá,PE
220465,2204659,Ilha Grande,PI
352044,3520442,Ilha Solteira,SP
352040,3520400,Ilhabela,SP
291360,2913606,Ilhéus,BA
420710,4207106,Ilhota,SC
313050,3130507,Ilicínea,MG
431030,4310306,Ilópolis,RS
250670,2506707,Imaculada,PB
420720,4207205,Imaruí,SC
411007,4110078,Imbaú,PR
431033,4310330,Imbé,RS
313055,3130556,Imbé de Minas,MG
420730,4207304,Imbituba,SC
411010,4110102,Imbituva,PR
420740,4207403,Imbuia,SC
431036,4310363,Imigrante,RS
210530,2105302,Imperatriz,MA
411020,4110201,Inácio Martins,PR
520993,5209937,Inaciolândia,GO
260700,2607000,Inajá,PE
411030,4110300,Inajá,PR
313060,3130606,Inconfidentes,MG
313065,3130655,Indaiabira,MG
420750,4207502,Indaial,SC
352050,3520509,Indaiatuba,SP
431040,4310405,Independência,RS
230560,2305605,Independência,CE
352060,3520608,Indiana,SP
411040,4110409,Indianópolis,PR
313070,3130705,Indianópolis,MG
352070,3520707,Indiaporã,SP
520995,5209952,Indiara,GO
280280,2802809,Indiaroba,SE
510450,5104500,Indiavaí,MT
250680,2506806,Ingá,PB
313080,3130804,Ingaí,MG
260710,2607109,Ingazeira,PE
431041,4310413,Inhacorá,RS
291370,2913705,Inhambupe,BA
150340,1503408,Inhangapi,PA
270330,2703304,Inhapi,AL
313090,3130903,Inhapim,MG
313100,3131000,Inhaúma,MG
220470,2204709,Inhuma,PI
521000,5210000,Inhumas,GO
313110,3131109,Inimutaba,MG
500440,5004403,Inocência,MS
352080,3520806,Inúbia Paulista,SP
420757,4207577,Iomerê,SC
313115,3131158,Ipaba,MG
521010,5210109,Ipameri,GO
313120,3131208,Ipanema,MG
240470,2404705,Ipanguaçu,RN
230565,2305654,Ipaporanga,CE
313130,3131307,Ipatinga,MG
230570,2305704,Ipaumirim,CE
352090,3520905,Ipaussu,SP
431043,4310439,Ipê,RS
291380,2913804,Ipecaetá,BA
352100,3521002,Iperó,SP
352110,3521101,Ipeúna,SP
313140,3131406,Ipiaçu,MG
291390,2913903,Ipiaú,BA
352115,3521150,Ipiguá,SP
291400,2914000,Ipirá,BA
420760,4207601,Ipira,SC
411050,4110508,Ipiranga,PR
521015,5210158,Ipiranga de Goiás,GO
510452,5104526,Ipiranga do Norte,MT
220480,2204808,Ipiranga do Piauí,PI
431046,4310462,Ipiranga do Sul,RS
130180,1301803,Ipixuna,AM
150345,1503457,Ipixuna do Pará,PA
260720,2607208,Ipojuca,PE
411060,4110607,Iporã,PR
521020,5210208,Iporá,GO
420765,4207650,Iporã do Oeste,SC
352120,3521200,Iporanga,SP
230580,2305803,Ipu,CE
352130,3521309,Ipuã,SP
420768,4207684,Ipuaçu,SC
260730,2607307,Ipubi,PE
240480,2404804,Ipueira,RN
170980,1709807,Ipueiras,TO
230590,2305902,Ipueiras,CE
313150,3131505,Ipuiúna,MG
420770,4207700,Ipumirim,SC
291410,2914109,Ipupiara,BA
140028,1400282,Iracema,RR
230600,2306009,Iracema,CE
411065,4110656,Iracema do Oeste,PR
352140,3521408,Iracemápolis,SP
420775,4207759,Iraceminha,SC
431050,4310504,Iraí,RS
313160,3131604,Iraí de Minas,MG
291420,2914208,Irajuba,BA
291430,2914307,Iramaia,BA
130185,1301852,Iranduba,AM
420780,4207809,Irani,SC
352150,3521507,Irapuã,SP
352160,3521606,Irapuru,SP
291440,2914406,Iraquara,BA
291450,2914505,Irará,BA
411070,4110706,Irati,PR
420785,4207858,Irati,SC
230610,2306108,Irauçuba,CE
291460,2914604,Irecê,BA
411080,4110805,Iretama,PR
420790,4207908,Irineópolis,SC
150350,1503507,Irituia,PA
320265,3202652,Irupi,ES
220490,2204907,Isaías Coelho,PI
521030,5210307,Israelândia,GO
420800,4208005,Itá,SC
431053,4310538,Itaara,RS
250690,2506905,Itabaiana,PB
280290,2802908,Itabaiana,SE
280300,2803005,Itabaianinha,SE
291465,2914653,Itabela,BA
352170,3521705,Itaberá,SP
291470,2914703,Itaberaba,BA
521040,5210406,Itaberaí,GO
280310,2803104,Itabi,SE
313170,3131703,Itabira,MG
313180,3131802,Itabirinha,MG
313190,3131901,Itabirito,MG
330190,3301900,Itaboraí,RJ
291480,2914802,Itabuna,BA
171050,1710508,Itacajá,TO
313200,3132008,Itacambira,MG
313210,3132107,Itacarambi,MG
291490,2914901,Itacaré,BA
130190,1301902,Itacoatiara,AM
260740,2607406,Itacuruba,PE
431055,4310553,Itacurubi,RS
291500,2915007,Itaeté,BA
291510,2915106,Itagi,BA
291520,2915205,Itagibá,BA
291530,2915304,Itagimirim,BA
320270,3202702,Itaguaçu,ES
291535,2915353,Itaguaçu da Bahia,BA
330200,3302007,Itaguaí,RJ
411090,4110904,Itaguajé,PR
313220,3132206,Itaguara,MG
521056,5210562,Itaguari,GO
521060,5210604,Itaguaru,GO
171070,1710706,Itaguatins,TO
352180,3521804,Itaí,SP
260750,2607505,Itaíba,PE
230620,2306207,Itaiçaba,CE
220500,2205003,Itainópolis,PI
420810,4208104,Itaiópolis,SC
210535,2105351,Itaipava do Grajaú,MA
313230,3132305,Itaipé,MG
411095,4110953,Itaipulândia,PR
230625,2306256,Itaitinga,CE
150360,1503606,Itaituba,PA
240485,2404853,Itajá,RN
521080,5210802,Itajá,GO
420820,4208203,Itajaí,SC
352190,3521903,Itajobi,SP
352200,3522000,Itaju,SP
291540,2915403,Itaju do Colônia,BA
313240,3132404,Itajubá,MG
291550,2915502,Itajuípe,BA
330205,3302056,Italva,RJ
291560,2915601,Itamaraju,BA
313250,3132503,Itamarandiba,MG
130195,1301951,Itamarati,AM
313260,3132602,Itamarati de Minas,MG
291570,2915700,Itamari,BA
313270,3132701,Itambacuri,MG
411100,4111001,Itambaracá,PR
411110,4111100,Itambé,PR
260765,2607653,Itambé,PE
291580,2915809,Itambé,BA
313280,3132800,Itambé do Mato Dentro,MG
313290,3132909,Itamogi,MG
313300,3133006,Itamonte,MG
291590,2915908,Itanagra,BA
352210,3522109,Itanhaém,SP
313310,3133105,Itanhandu,MG
510454,5104542,Itanhangá,MT
291600,2916005,Itanhém,BA
313320,3133204,Itanhomi,MG
313330,3133303,Itaobim,MG
352215,3522158,Itaóca,SP
330210,3302106,Itaocara,RJ
521090,5210901,Itapaci,GO
313340,3133402,Itapagipe,MG
230630,2306306,Itapajé,CE
291610,2916104,Itaparica,BA
291620,2916203,Itapé,BA
291630,2916302,Itapebi,BA
313350,3133501,Itapecerica,MG
352220,3522208,Itapecerica da Serra,SP
210540,2105401,Itapecuru Mirim,MA
411120,4111209,Itapejara d'Oeste,PR
420830,4208302,Itapema,SC
320280,3202801,Itapemirim,ES
411125,4111258,Itaperuçu,PR
330220,3302205,Itaperuna,RJ
260770,2607703,Itapetim,PE
291640,2916401,Itapetinga,BA
352230,3522307,Itapetininga,SP
352240,3522406,Itapeva,SP
313360,3133600,Itapeva,MG
352250,3522505,Itapevi,SP
291650,2916500,Itapicuru,BA
230640,2306405,Itapipoca,CE
352260,3522604,Itapira,SP
130200,1302009,Itapiranga,AM
420840,4208401,Itapiranga,SC
521100,5211008,Itapirapuã,GO
352265,3522653,Itapirapuã Paulista,SP
171090,1710904,Itapiratins,TO
260775,2607752,Itapissuma,PE
291660,2916609,Itapitanga,BA
230650,2306504,Itapiúna,CE
420845,4208450,Itapoá,SC
352270,3522703,Itápolis,SP
500450,5004502,Itaporã,MS
171110,1711100,Itaporã do Tocantins,TO
352280,3522802,Itaporanga,SP
250700,2507002,Itaporanga,PB
280320,2803203,Itaporanga d'Ajuda,SE
250710,2507101,Itapororoca,PB
110110,1101104,Itapuã do Oeste,RO
431057,4310579,Itapuca,RS
352290,3522901,Itapuí,SP
352300,3523008,Itapura,SP
521120,5211206,Itapuranga,GO
352310,3523107,Itaquaquecetuba,SP
291670,2916708,Itaquara,BA
431060,4310603,Itaqui,RS
500460,5004601,Itaquiraí,MS
260780,2607802,Itaquitinga,PE
320290,3202900,Itarana,ES
291680,2916807,Itarantim,BA
352320,3523206,Itararé,SP
230655,2306553,Itarema,CE
352330,3523305,Itariri,SP
521130,5211305,Itarumã,GO
431065,4310652,Itati,RS
330225,3302254,Itatiaia,RJ
313370,3133709,Itatiaiuçu,MG
352340,3523404,Itatiba,SP
431070,4310702,Itatiba do Sul,RS
291685,2916856,Itatim,BA
352350,3523503,Itatinga,SP
230660,2306603,Itatira,CE
250720,2507200,Itatuba,PB
240490,2404903,Itaú,RN
313375,3133758,Itaú de Minas,MG
510455,5104559,Itaúba,MT
160025,1600253,Itaubal,AP
521140,5211404,Itauçu,GO
220510,2205102,Itaueira,PI
313380,3133808,Itaúna,MG
411130,4111308,Itaúna do Sul,PR
313390,3133907,Itaverava,MG
313400,3134004,Itinga,MG
210542,2105427,Itinga do Maranhão,MA
510460,5104609,Itiquira,MT
352360,3523602,Itirapina,SP
352370,3523701,Itirapuã,SP
291690,2916906,Itiruçu,BA
291700,2917003,Itiúba,BA
352380,3523800,Itobi,SP
291710,2917102,Itororó,BA
352390,3523909,Itu,SP
291720,2917201,Ituaçu,BA
291730,2917300,Ituberá,BA
313410,3134103,Itueta,MG
313420,3134202,Ituiutaba,MG
521150,5211503,Itumbiara,GO
313430,3134301,Itumirim,MG
352400,3524006,Itupeva,SP
150370,1503705,Itupiranga,PA
420850,4208500,Ituporanga,SC
313440,3134400,Iturama,MG
313450,3134509,Itutinga,MG
352410,3524105,Ituverava,SP
291733,2917334,Iuiú,BA
320300,3203007,Iúna,ES
411140,4111407,Ivaí,PR
411150,4111506,Ivaiporã,PR
411155,4111555,Ivaté,PR
411160,4111605,Ivatuba,PR
500470,5004700,Ivinhema,MS
521160,5211602,Ivolândia,GO
431075,4310751,Ivorá,RS
431080,4310801,Ivoti,RS
260790,2607901,Jaboatão dos Guararapes,PE
420860,4208609,Jaborá,SC
291735,2917359,Jaborandi,BA
352420,3524204,Jaborandi,SP
411170,4111704,Jaboti,PR
431085,4310850,Jaboticaba,RS
352430,3524303,Jaboticabal,SP
313460,3134608,Jaboticatubas,MG
240500,2405009,Jaçanã,RN
291740,2917409,Jacaraci,BA
250730,2507309,Jacaraú,PB
270340,2703403,Jacaré dos Homens,AL
150375,1503754,Jacareacanga,PA
352440,3524402,Jacareí,SP
411180,4111803,Jacarezinho,PR
352450,3524501,Jaci,SP
510480,5104807,Jaciara,MT
313470,3134707,Jacinto,MG
420870,4208708,Jacinto Machado,SC
291750,2917508,Jacobina,BA
220515,2205151,Jacobina do Piauí,PI
313480,3134806,Jacuí,MG
270350,2703502,Jacuípe,AL
431087,4310876,Jacuizinho,RS
150380,1503804,Jacundá,PA
352460,3524600,Jacupiranga,SP
431090,4310900,Jacutinga,RS
313490,3134905,Jacutinga,MG
411190,4111902,Jaguapitã,PR
291760,2917607,Jaguaquara,BA
313500,3135001,Jaguaraçu,MG
431100,4311007,Jaguarão,RS
291770,2917706,Jaguarari,BA
320305,3203056,Jaguaré,ES
230670,2306702,Jaguaretama,CE
431110,4311106,Jaguari,RS
411200,4112009,Jaguariaíva,PR
230680,2306801,Jaguaribara,CE
230690,2306900,Jaguaribe,CE
291780,2917805,Jaguaripe,BA
352470,3524709,Jaguariúna,SP
230700,2307007,Jaguaruana,CE
420880,4208807,Jaguaruna,SC
313505,3135050,Jaíba,MG
220520,2205201,Jaicós,PI
352480,3524808,Jales,SP
352490,3524907,Jambeiro,SP
313507,3135076,Jampruca,MG
313510,3135100,Janaúba,MG
521170,5211701,Jandaia,GO
411210,4112108,Jandaia do Sul,PR
240510,2405108,Jandaíra,RN
291790,2917904,Jandaíra,BA
352500,3525003,Jandira,SP
240520,2405207,Janduís,RN
510490,5104906,Jangada,MT
411220,4112207,Janiópolis,PR
313520,3135209,Januária,MG
240530,2405306,Januário Cicco (Boa Saúde),RN
313530,3135308,Japaraíba,MG
270360,2703601,Japaratinga,AL
280330,2803302,Japaratuba,SE
330227,3302270,Japeri,RJ
240540,2405405,Japi,RN
411230,4112306,Japira,PR
280340,2803401,Japoatã,SE
313535,3135357,Japonvar,MG
500480,5004809,Japorã,MS
411240,4112405,Japurá,PR
130210,1302108,Japurá,AM
260795,2607950,Jaqueira,PE
431112,4311122,Jaquirana,RS
521180,5211800,Jaraguá,GO
420890,4208906,Jaraguá do Sul,SC
500490,5004908,Jaraguari,MS
270370,2703700,Jaramataia,AL
230710,2307106,Jardim,CE
500500,5005004,Jardim,MS
411250,4112504,Jardim Alegre,PR
240550,2405504,Jardim de Angicos,RN
240560,2405603,Jardim de Piranhas,RN
220525,2205250,Jardim do Mulato,PI
240570,2405702,Jardim do Seridó,RN
411260,4112603,Jardim Olinda,PR
352510,3525102,Jardinópolis,SP
420895,4208955,Jardinópolis,SC
431113,4311130,Jari,RS
352520,3525201,Jarinu,SP
110011,1100114,Jaru,RO
521190,5211909,Jataí,GO
411270,4112702,Jataizinho,PR
260800,2608008,Jataúba,PE
500510,5005103,Jateí,MS
230720,2307205,Jati,CE
210545,2105450,Jatobá,MA
260805,2608057,Jatobá,PE
220527,2205276,Jatobá do Piauí,PI
352530,3525300,Jaú,SP
171150,1711506,Jaú do Tocantins,TO
521200,5212006,Jaupaci,GO
510500,5105002,Jauru,MT
313540,3135407,Jeceaba,MG
313545,3135456,Jenipapo de Minas,MG
210547,2105476,Jenipapo dos Vieiras,MA
313550,3135506,Jequeri,MG
270375,2703759,Jequiá da Praia,AL
291800,2918001,Jequié,BA
313560,3135605,Jequitaí,MG
313570,3135704,Jequitibá,MG
313580,3135803,Jequitinhonha,MG
291810,2918100,Jeremoabo,BA
250740,2507408,Jericó,PB
352540,3525409,Jeriquara,SP
320310,3203106,Jerônimo Monteiro,ES
220530,2205300,Jerumenha,PI
313590,3135902,Jesuânia,MG
411275,4112751,Jesuítas,PR
521205,5212055,Jesúpolis,GO
110012,1100122,Ji-Paraná,RO
230725,2307254,Jijoca de Jericoacoara,CE
291820,2918209,Jiquiriçá,BA
291830,2918308,Jitaúna,BA
420900,4209003,Joaçaba,SC
313600,3136009,Joaíma,MG
313610,3136108,Joanésia,MG
352550,3525508,Joanópolis,SP
260810,2608107,João Alfredo,PE
240580,2405801,João Câmara,RN
220535,2205359,João Costa,PI
240590,2405900,João Dias,RN
291835,2918357,João Dourado,BA
210550,2105500,João Lisboa,MA
313620,3136207,João Monlevade,MG
320313,3203130,João Neiva,ES
250750,2507507,João Pessoa,PB
313630,3136306,João Pinheiro,MG
352560,3525607,João Ramalho,SP
313640,3136405,Joaquim Felício,MG
270380,2703809,Joaquim Gomes,AL
260820,2608206,Joaquim Nabuco,PE
220540,2205409,Joaquim Pires,PI
411280,4112801,Joaquim Távora,PR
251365,2513653,Joca Claudino,PB
220545,2205458,Joca Marques,PI
431115,4311155,Jóia,RS
420910,4209102,Joinville,SC
313650,3136504,Jordânia,MG
120032,1200328,Jordão,AC
420915,4209151,José Boiteux,SC
352570,3525706,José Bonifácio,SP
240600,2406007,José da Penha,RN
220550,2205508,José de Freitas,PI
313652,3136520,José Gonçalves de Minas,MG
313655,3136553,José Raydan,MG
210560,2105609,Joselândia,MA
313657,3136579,Josenópolis,MG
521210,5212105,Joviânia,GO
510510,5105101,Juara,MT
250760,2507606,Juarez Távora,PB
171180,1711803,Juarina,TO
313665,3136652,Juatuba,MG
250770,2507705,Juazeirinho,PB
291840,2918407,Juazeiro,BA
230730,2307304,Juazeiro do Norte,CE
220551,2205516,Juazeiro do Piauí,PI
230740,2307403,Jucás,CE
260825,2608255,Jucati,PE
291845,2918456,Jucuruçu,BA
240610,2406106,Jucurutu,RN
510515,5105150,Juína,MT
313670,3136702,Juiz de Fora,MG
220552,2205524,Júlio Borges,PI
431120,4311205,Júlio de Castilhos,RS
352580,3525805,Júlio Mesquita,SP
352585,3525854,Jumirim,SP
210565,2105658,Junco do Maranhão,MA
250780,2507804,Junco do Seridó,PB
240615,2406155,Jundiá,RN
270390,2703908,Jundiá,AL
352590,3525904,Jundiaí,SP
411290,4112900,Jundiaí do Sul,PR
270400,2704005,Junqueiro,AL
352600,3526001,Junqueirópolis,SP
260830,2608305,Jupi,PE
420917,4209177,Jupiá,SC
352610,3526100,Juquiá,SP
352620,3526209,Juquitiba,SP
313680,3136801,Juramento,MG
411295,4112959,Juranda,PR
260840,2608404,Jurema,PE
220553,2205532,Jurema,PI
250790,2507903,Juripiranga,PB
250800,2508000,Juru,PB
130220,1302207,Juruá,AM
313690,3136900,Juruaia,MG
510517,5105176,Juruena,MT
150390,1503903,Juruti,PA
510520,5105200,Juscimeira,MT
291850,2918506,Jussara,BA
521220,5212204,Jussara,GO
411300,4113007,Jussara,PR
291855,2918555,Jussari,BA
291860,2918605,Jussiape,BA
130230,1302306,Jutaí,AM
500515,5005152,Juti,MS
313695,3136959,Juvenília,MG
411310,4113106,Kaloré,PR
130240,1302405,Lábrea,AM
420920,4209201,Lacerdópolis,SC
313700,3137007,Ladainha,MG
500520,5005202,Ladário,MS
291870,2918704,Lafaiete Coutinho,BA
313710,3137106,Lagamar,MG
280350,2803500,Lagarto,SE
420930,4209300,Lages,SC
210570,2105708,Lago da Pedra,MA
210580,2105807,Lago do Junco,MA
210594,2105948,Lago dos Rodrigues,MA
210590,2105906,Lago Verde,MA
250810,2508109,Lagoa,PB
220555,2205557,Lagoa Alegre,PI
431123,4311239,Lagoa Bonita do Sul,RS
240620,2406205,Lagoa d'Anta,RN
270410,2704104,Lagoa da Canoa,AL
171190,1711902,Lagoa da Confusão,TO
313720,3137205,Lagoa da Prata,MG
250820,2508208,Lagoa de Dentro,PB
260850,2608503,Lagoa de Itaenga,PE
240630,2406304,Lagoa de Pedras,RN
220557,2205573,Lagoa de São Francisco,PI
240640,2406403,Lagoa de Velhos,RN
220556,2205565,Lagoa do Barro do Piauí,PI
260845,2608453,Lagoa do Carro,PE
210592,2105922,Lagoa do Mato,MA
260860,2608602,Lagoa do Ouro,PE
220558,2205581,Lagoa do Piauí,PI
220559,2205599,Lagoa do Sítio,PI
171195,1711951,Lagoa do Tocantins,TO
260870,2608701,Lagoa dos Gatos,PE
313730,3137304,Lagoa dos Patos,MG
431127,4311270,Lagoa dos Três Cantos,RS
313740,3137403,Lagoa Dourada,MG
313750,3137502,Lagoa Formosa,MG
313753,3137536,Lagoa Grande,MG
260875,2608750,Lagoa Grande,PE
210596,2105963,Lagoa Grande do Maranhão,MA
240650,2406502,Lagoa Nova,RN
291875,2918753,Lagoa Real,BA
240660,2406601,Lagoa Salgada,RN
521225,5212253,Lagoa Santa,GO
313760,3137601,Lagoa Santa,MG
250830,2508307,Lagoa Seca,PB
431130,4311304,Lagoa Vermelha,RS
431125,4311254,Lagoão,RS
352630,3526308,Lagoinha,SP
220554,2205540,Lagoinha do Piauí,PI
420940,4209409,Laguna,SC
500525,5005251,Laguna Carapã,MS
291880,2918803,Laje,BA
330230,3302304,Laje do Muriaé,RJ
171200,1712009,Lajeado,TO
431140,4311403,Lajeado,RS
431142,4311429,Lajeado do Bugre,RS
420945,4209458,Lajeado Grande,SC
